source,result,category,questionId
ADE20K,1,count,0
ADE20K,0,count,1
ADE20K,0,count,2
ADE20K,1,count,3
ADE20K,0,count,4
ADE20K,1,count,5
ADE20K,0,count,6
ADE20K,0,count,7
ADE20K,0,count,8
ADE20K,0,count,9
ADE20K,1,count,10
ADE20K,0,count,11
ADE20K,1,count,12
ADE20K,1,count,13
ADE20K,0,spatial,14
ADE20K,0,spatial,15
ADE20K,0,spatial,16
ADE20K,1,spatial,17
ADE20K,0,spatial,18
ADE20K,0,spatial,19
ADE20K,1,spatial,20
ADE20K,1,spatial,21
ADE20K,0,spatial,22
COCO,0,count,0
COCO,1,count,1
COCO,0,count,2
COCO,0,count,3
COCO,0,count,4
COCO,1,count,5
COCO,0,spatial,6
COCO,1,spatial,7
COCO,1,spatial,8
COCO,1,spatial,9
COCO,1,spatial,10
COCO,1,spatial,11
COCO,1,spatial,12
COCO,0,spatial,13
COCO,0,spatial,14
COCO,1,spatial,15
COCO,1,spatial,16
Omni3D,1,depth,0
Omni3D,0,depth,1
Omni3D,0,depth,2
Omni3D,0,depth,3
Omni3D,1,depth,4
Omni3D,0,depth,5
Omni3D,0,depth,6
Omni3D,1,depth,7
Omni3D,1,depth,8
Omni3D,1,depth,9
Omni3D,0,depth,10
Omni3D,0,depth,11
Omni3D,0,depth,12
Omni3D,1,depth,13
Omni3D,1,depth,14
Omni3D,1,depth,15
Omni3D,0,depth,16
Omni3D,0,depth,17
Omni3D,1,depth,18
Omni3D,0,depth,19
Omni3D,1,depth,20
Omni3D,0,depth,21
Omni3D,0,depth,22
Omni3D,1,depth,23
Omni3D,1,depth,24
Omni3D,0,depth,25
Omni3D,0,depth,26
Omni3D,1,depth,27
Omni3D,1,depth,28
Omni3D,1,depth,29
Omni3D,0,relative,30
Omni3D,1,relative,31
Omni3D,1,relative,32
Omni3D,1,relative,33
Omni3D,0,relative,34
Omni3D,0,relative,35
Omni3D,0,relative,36
Omni3D,0,relative,37
Omni3D,1,relative,38
Omni3D,1,relative,39
Omni3D,0,relative,40
Omni3D,1,relative,41
Omni3D,1,relative,42
Omni3D,1,relative,43
Omni3D,1,relative,44
Omni3D,0,relative,45
Omni3D,1,relative,46
Omni3D,0,relative,47
Omni3D,1,relative,48
Omni3D,0,relative,49
Omni3D,1,relative,50
Omni3D,1,relative,51
Omni3D,0,relative,52
Omni3D,0,relative,53
Omni3D,0,relative,54
Omni3D,1,relative,55
Omni3D,0,relative,56
Omni3D,1,relative,57
Omni3D,1,relative,58
Omni3D,1,relative,59
